init github.com/carapace-sh/carapace-bin/completers/common/dmesg_completer/cmd @6.9 ms, 0.031 ms clock, 19904 bytes, 141 allocs
init github.com/carapace-sh/carapace-bin/completers/common/dngconverter_completer/cmd @7.0 ms, 0.054 ms clock, 34848 bytes, 252 allocs
init github.com/carapace-sh/carapace-bin/completers/common/dos2unix_completer/cmd @7.1 ms, 0.031 ms clock, 15592 bytes, 116 allocs
init github.com/carapace-sh/carapace-bin/completers/common/du_completer/cmd @7.1 ms, 0.029 ms clock, 16832 bytes, 132 allocs
init github.com/carapace-sh/carapace-bin/completers/common/ebook-convert_completer/cmd @7.1 ms, 0.006 ms clock, 8048 bytes, 61 allocs
init github.com/carapace-sh/carapace-bin/completers/common/electron_completer/cmd @7.2 ms, 0.011 ms clock, 7680 bytes, 58 allocs
init github.com/carapace-sh/carapace-bin/completers/common/envsubst_completer/cmd @7.2 ms, 0.010 ms clock, 7208 bytes, 50 allocs
init github.com/carapace-sh/carapace-bin/completers/common/expand_completer/cmd @7.2 ms, 0.006 ms clock, 7664 bytes, 58 allocs
init github.com/carapace-sh/carapace-bin/completers/common/expr_completer/cmd @7.2 ms, 0.008 ms clock, 6704 bytes, 45 allocs
init github.com/carapace-sh/carapace-bin/completers/common/eza_completer/cmd @7.2 ms, 0.039 ms clock, 35608 bytes, 249 allocs
init github.com/carapace-sh/carapace-bin/completers/common/factor_completer/cmd @7.3 ms, 0.022 ms clock, 7176 bytes, 50 allocs
init github.com/carapace-sh/carapace-bin/completers/common/fakechroot_completer/cmd @7.3 ms, 0.008 ms clock, 9632 bytes, 69 allocs
init github.com/carapace-sh/carapace-bin/completers/common/fakeroot_completer/cmd @7.4 ms, 0.009 ms clock, 10296 bytes, 82 allocs
init github.com/carapace-sh/carapace-bin/completers/common/fc-cache_completer/cmd @7.4 ms, 0.006 ms clock, 8432 bytes, 66 allocs
init github.com/carapace-sh/carapace-bin/completers/common/fc-cat_completer/cmd @7.4 ms, 0.002 ms clock, 7648 bytes, 58 allocs
init github.com/carapace-sh/carapace-bin/completers/common/fc-conflist_completer/cmd @7.4 ms, 0.005 ms clock, 7024 bytes, 47 allocs
init github.com/carapace-sh/carapace-bin/completers/common/file_completer/cmd @7.4 ms, 0.39 ms clock, 19112 bytes, 136 allocs
init github.com/carapace-sh/carapace-bin/completers/common/firefox_completer/cmd @7.8 ms, 0.014 ms clock, 14232 bytes, 110 allocs
init github.com/carapace-sh/carapace-bin/completers/common/fmt_completer/cmd @7.8 ms, 0.066 ms clock, 9216 bytes, 73 allocs
init github.com/carapace-sh/carapace-bin/completers/common/fnm_completer/cmd @7.9 ms, 0.037 ms clock, 95944 bytes, 659 allocs
init github.com/carapace-sh/carapace-bin/completers/common/fold_completer/cmd @7.9 ms, 0.005 ms clock, 7896 bytes, 61 allocs
init github.com/carapace-sh/carapace-bin/completers/common/free_completer/cmd @7.9 ms, 0.014 ms clock, 12848 bytes, 99 allocs
init github.com/carapace-sh/carapace-bin/completers/common/fzf_completer/cmd @8.0 ms, 0.017 ms clock, 22416 bytes, 176 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gdown_completer/cmd @8.0 ms, 0.039 ms clock, 11240 bytes, 86 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gdu_completer/cmd @8.0 ms, 0.023 ms clock, 24320 bytes, 132 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gftp_completer/cmd @8.1 ms, 0.004 ms clock, 7168 bytes, 50 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gh-dash_completer/cmd @8.1 ms, 0.005 ms clock, 8496 bytes, 57 allocs
init github.com/carapace-sh/carapace-bin/completers/common/git-abort_completer/cmd @8.1 ms, 0.018 ms clock, 6568 bytes, 42 allocs
init github.com/carapace-sh/carapace-bin/completers/common/git-archive-file_completer/cmd @8.1 ms, 0.002 ms clock, 6624 bytes, 42 allocs
init github.com/carapace-sh/carapace-bin/completers/common/git-authors_completer/cmd @8.1 ms, 0.002 ms clock, 7232 bytes, 50 allocs
init github.com/carapace-sh/carapace-bin/completers/common/git-clear-soft_completer/cmd @8.1 ms, 0.009 ms clock, 6592 bytes, 42 allocs
init github.com/carapace-sh/carapace-bin/completers/common/git-clear_completer/cmd @8.2 ms, 0.009 ms clock, 7016 bytes, 47 allocs
init github.com/carapace-sh/carapace-bin/completers/common/git-extras_completer/cmd @8.2 ms, 0.003 ms clock, 7040 bytes, 47 allocs
init github.com/carapace-sh/carapace-bin/completers/common/git-info_completer/cmd @8.2 ms, 0.005 ms clock, 7208 bytes, 50 allocs
init github.com/carapace-sh/carapace-bin/completers/common/git-unlock_completer/cmd @8.2 ms, 0.003 ms clock, 6872 bytes, 48 allocs
init github.com/carapace-sh/carapace-bin/completers/common/git-utimes_completer/cmd @8.2 ms, 0.003 ms clock, 6768 bytes, 45 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gitui_completer/cmd @8.2 ms, 0.020 ms clock, 9560 bytes, 69 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gnome-keyring-daemon_completer/cmd @8.3 ms, 0.016 ms clock, 11192 bytes, 82 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gnome-keyring_completer/cmd @8.3 ms, 0.006 ms clock, 17848 bytes, 116 allocs
init github.com/carapace-sh/carapace-bin/completers/common/go-tool-asm_completer/cmd @8.3 ms, 0.014 ms clock, 20400 bytes, 103 allocs
init github.com/carapace-sh/carapace-bin/completers/common/go-tool-buildid_completer/cmd @8.3 ms, 0.002 ms clock, 7176 bytes, 50 allocs
init github.com/carapace-sh/carapace-bin/completers/common/go-tool-cover_completer/cmd @8.3 ms, 0.021 ms clock, 11888 bytes, 94 allocs
init github.com/carapace-sh/carapace-bin/completers/common/go-tool-objdump_completer/cmd @8.4 ms, 0.019 ms clock, 7608 bytes, 56 allocs
init github.com/carapace-sh/carapace-bin/completers/common/go-tool-pack_completer/cmd @8.4 ms, 0.002 ms clock, 6536 bytes, 46 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gocyclo_completer/cmd @8.4 ms, 0.010 ms clock, 8320 bytes, 65 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gofmt_completer/cmd @8.4 ms, 0.004 ms clock, 9520 bytes, 71 allocs
init github.com/carapace-sh/carapace-bin/completers/common/google-chrome_completer/cmd @8.4 ms, 0.010 ms clock, 10368 bytes, 78 allocs
init github.com/carapace-sh/carapace-bin/completers/common/goweight_completer/cmd @8.4 ms, 0.009 ms clock, 7680 bytes, 57 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gpg-agent_completer/cmd @8.4 ms, 0.012 ms clock, 14752 bytes, 117 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gradle_completer/cmd @8.5 ms, 0.034 ms clock, 24808 bytes, 191 allocs
init github.com/carapace-sh/carapace-bin/completers/common/grep_completer/cmd @8.5 ms, 0.022 ms clock, 25000 bytes, 185 allocs
init github.com/carapace-sh/carapace-bin/completers/common/groupadd_completer/cmd @8.5 ms, 0.005 ms clock, 10824 bytes, 78 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gulp_completer/cmd @8.5 ms, 0.013 ms clock, 13648 bytes, 104 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gunzip_completer/cmd @8.6 ms, 0.41 ms clock, 10672 bytes, 97 allocs
init github.com/carapace-sh/carapace-bin/completers/common/gzip_completer/cmd @9.0 ms, 0.13 ms clock, 13352 bytes, 99 allocs
init github.com/carapace-sh/carapace-bin/completers/common/halt_completer/cmd @9.1 ms, 0.011 ms clock, 8888 bytes, 67 allocs
init github.com/carapace-sh/carapace-bin/completers/common/head_completer/cmd @9.2 ms, 0.007 ms clock, 8440 bytes, 67 allocs
init github.com/carapace-sh/carapace-bin/completers/common/helmsman_completer/cmd @9.2 ms, 0.053 ms clock, 26896 bytes, 144 allocs
init github.com/carapace-sh/carapace-bin/completers/common/hexdump_completer/cmd @9.2 ms, 0.024 ms clock, 11912 bytes, 92 allocs
init github.com/carapace-sh/carapace-bin/completers/common/hostid_completer/cmd @9.3 ms, 0.007 ms clock, 6712 bytes, 45 allocs
init github.com/carapace-sh/carapace-bin/completers/common/hostname_completer/cmd @9.3 ms, 0.058 ms clock, 10880 bytes, 79 allocs
init github.com/carapace-sh/carapace-bin/completers/common/hugetop_completer/cmd @9.3 ms, 0.020 ms clock, 9192 bytes, 67 allocs
init github.com/carapace-sh/carapace-bin/completers/common/hugo_completer/cmd @9.4 ms, 1.5 ms clock, 371792 bytes, 2093 allocs
init github.com/carapace-sh/carapace-bin/completers/common/hwinfo_completer/cmd @11 ms, 0.035 ms clock, 28808 bytes, 207 allocs
init github.com/carapace-sh/carapace-bin/completers/common/i3-scrot_completer/cmd @11 ms, 0.007 ms clock, 7512 bytes, 55 allocs
init github.com/carapace-sh/carapace-bin/completers/common/i3_completer/cmd @11 ms, 0.008 ms clock, 10616 bytes, 81 allocs
init github.com/carapace-sh/carapace-bin/completers/common/i3exit_completer/cmd @11 ms, 0.003 ms clock, 6048 bytes, 40 allocs
init github.com/carapace-sh/carapace-bin/completers/common/i3lock_completer/cmd @11 ms, 0.008 ms clock, 11264 bytes, 85 allocs
init github.com/carapace-sh/carapace-bin/completers/common/i3status-rs_completer/cmd @11 ms, 0.004 ms clock, 7704 bytes, 58 allocs
init github.com/carapace-sh/carapace-bin/completers/common/i3status_completer/cmd @11 ms, 0.007 ms clock, 8096 bytes, 51 allocs
init github.com/carapace-sh/carapace-bin/completers/common/ion_completer/cmd @11 ms, 0.022 ms clock, 9432 bytes, 69 allocs
init github.com/carapace-sh/carapace-bin/completers/common/jar_completer/cmd @11 ms, 0.013 ms clock, 15880 bytes, 120 allocs
init github.com/carapace-sh/carapace-bin/completers/common/javac_completer/cmd @11 ms, 0.040 ms clock, 29704 bytes, 208 allocs
init github.com/carapace-sh/carapace-bin/completers/common/join_completer/cmd @11 ms, 0.024 ms clock, 13160 bytes, 98 allocs
init github.com/carapace-sh/carapace-bin/completers/common/jq_completer/cmd @11 ms, 0.040 ms clock, 14904 bytes, 116 allocs
init github.com/carapace-sh/carapace-bin/completers/common/julia_completer/cmd @11 ms, 0.031 ms clock, 24632 bytes, 190 allocs
init github.com/carapace-sh/carapace-bin/completers/common/kmonad_completer/cmd @11 ms, 0.013 ms clock, 8792 bytes, 63 allocs
init github.com/carapace-sh/carapace-bin/completers/common/kotlin_completer/cmd @11 ms, 0.018 ms clock, 11392 bytes, 87 allocs
init github.com/carapace-sh/carapace-bin/completers/common/kotlinc_completer/cmd @11 ms, 0.014 ms clock, 16824 bytes, 129 allocs
init github.com/carapace-sh/carapace-bin/completers/common/ktlint_completer/cmd @11 ms, 0.014 ms clock, 15104 bytes, 115 allocs
init github.com/carapace-sh/carapace-bin/completers/common/lazygit_completer/cmd @11 ms, 0.019 ms clock, 11568 bytes, 87 allocs
init github.com/carapace-sh/carapace-bin/completers/common/lf_completer/cmd @11 ms, 0.014 ms clock, 11248 bytes, 92 allocs
init github.com/carapace-sh/carapace-bin/completers/common/light_completer/cmd @11 ms, 0.009 ms clock, 11688 bytes, 89 allocs
